Registracijos numeris,Registracijos data,docReklaminės veiklos subjektas (užsakovas),docReklaminės veiklos subjekto (užsakovo) buveinės adresas,docReklamos apmokestinamas plotas,docReklamos komisijos posėdžio data,docReklamos komisijos posėdžio protokolo Nr.,docReklamos leidimas galioja iki (data),docReklamos plotas (kv. m),docReklamos tipas,docReklamos turinys,docReklamos vykdytojas,docReklamos įrengimo adresas (gatvė),docReklamos įrengimo adresas (namo Nr.),docReklamos įrengimo adresas(seniūnija),docPastabos
A635-500(2.3.2.1-EK6),5/9/2013,IĮ „Autoaliarmas“,"Gelvonų g. 2, Vilnius",4.65,4/3/13 0:00,A16-317(2.1.43-EK6),5/8/18 0:00,4.65,IVR ant pastato fasado,„AUTOALIARMAS“ AUTOMOBILIŲ APSAUGOS SISTEMOS,IĮ „Lipsum“,Gelvonų,2,Šeškinės,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-502(2.3.2.1-EK6),5/9/2013,UAB „Sinerta LDC“,"Savanorių pr. 159, Vilnius",4.7,4/17/13 0:00,A16-368(2.1.43-EK6),5/8/18 0:00,4.7,IVR ant pastato fasado,"„SINERTA“ TONERIAI, SPAUSDINTUVŲ KASETĖS, KASEČIŲ PILDYMAS",IĮ „Lipsum“,Gelvonų,2,Šeškinės,Išduoti leidimą dviejų elementų išorinei reklamai penkeriems metams.
A635-511(2.3.2.1-EK6),5/13/2013,R. Labanauskienės įmonė,"Savanorių a. 3, Panevėžys",1.73,4/17/13 0:00,A16-368(2.1.43-EK6),5/12/18 0:00,1.73,IVR ant pastato fasado,COLIUKĖ,UAB „Reklamos ketvertas“,Ateities,91,Fabijoniškių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-506(2.3.2.1-EK6),5/13/2013,UAB „Danbalt International“,"V. Gerulaičio g. 1, Vilnius",23.96,4/17/13 0:00,A16-368(2.1.43-EK6),5/12/18 0:00,23.96,IVR ant pastato fasado,DANIJA,UAB „Ultramarinas“,Ozo,18,Verkių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-510(2.3.2.1-EK6),5/13/2013,UAB „Katalizator.Lt“,"Ukmergės g. 206-8, Vilnius",1.19,4/24/13 0:00,A16-388(2.1.43-EK6),5/12/18 0:00,1.19,IVR ant pastato fasado,„KATALIZATOR“ SUPIRKTUVĖ,UAB „Imbela“,Ukmergės,212A,Šeškinės,Išduoti leidimą dviejų elementų išorinei reklamai penkeriems metams.
A635-507(2.3.2.1-EK6),5/13/2013,UAB „Danbalt Boutique“,"V. Gerulaičio g. 1, Vilnius",14.85,4/17/13 0:00,A16-368(2.1.43-EK6),5/12/18 0:00,14.85,IVR ant pastato fasado,ESTE,UAB „Ultramarinas“,Ozo,18,Verkių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-503(2.3.2.1-EK6),5/13/2013,UAB „Norfos mažmena“,"Savanorių pr. 176, Vilnius",13.43,4/17/13 0:00,A16-368(2.1.43-EK6),5/12/18 0:00,13.43,IVR ant pastato fasado,NORFA XL,IĮ „Reklamos linija“,Laisvės,82,Pašilaičių,Išduoti leidimą dviejų elementų išorinei reklamai penkeriems metams.
A635-504(2.3.2.1-EK6),5/13/2013,UAB „Norfos mažmena“,"Savanorių pr. 176, Vilnius",85.14,3/27/13 0:00,A16-307(2.1.43-EK6),5/12/14 0:00,85.14,IVR ant pastato fasado,NORFA XXL,IĮ „Reklamos linija“,Kalvarijų,206,Verkių,Išduoti leidimą trijų elementų išorinei reklamai vieneriems metams.
A635-505(2.3.2.1-EK6),5/13/2013,UAB „Danbalt Clothing“,"V. Gerulaičio g. 1, Vilnius",34.04,4/17/13 0:00,A16-368(2.1.43-EK6),5/12/18 0:00,34.04,IVR ant pastato fasado,NORFA XXL,UAB „Ultramarinas“,Ozo,18,Verkių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-513(2.3.2.1-EK6),5/13/2013,IĮ „Meistrus“,"Justiniškių g. 75-12, Vilnius",2.7,4/17/13 0:00,A16-368(2.1.43-EK6),5/12/18 0:00,2.7,IVR ant pastato fasado,„SILK PLASTER“ ŠILKINĖ SIENŲ DANGA,Diana Urson,Justiniškių,62A,Justiniškių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-508(2.3.2.1-EK6),5/13/2013,UAB „Beržūna“,"Gamyklos g. 48, Mažeikiai",1.2,4/24/13 0:00,A16-388(2.1.43-EK6),5/12/15 0:00,1.2,IVR ant pastato fasado,VIZIJA OPTIKA,UAB „Fluxus“,P. Lukšio,34,Žirmūnų,Išduoti leidimą tūrinių raidžių išorinei reklamai virš įėjimo durų dvejiems.
A635-509(2.3.2.1-EK6),5/13/2013,UAB „Igana“,"V. Sirokomlės g. 3, Vilnius",2.16,4/24/13 0:00,A16-388(2.1.43-EK6),5/12/18 0:00,2.16,IVR ant pastato fasado,SOLIARIUMAS „MANO SAULĖ“,J. Čėsnos įmonė „Dikoma“,Žirmūnų,2,Žirmūnų,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-512(2.3.2.1-EK6),5/13/2013,UAB „Darija“,"Metalo g. 2B, Vilnius",2.75,4/24/13 0:00,A16-388(2.1.43-EK6),5/12/18 0:00,2.75,IVR ant pastato fasado,"„BRAVO ALCO“ GĖRIMAI, SALDUMYNAI, TABAKAS",UAB „Jūsų vizija“,Papilėnų,14,Pilaitės,"Išduoti leidimą išorinei reklamai penkeriems metams su sąlyga, kad lipni plėvelė ant vitrinų stiklo bus klijuojama iš vidinės stiklo pusės."
A635-517(2.3.2.1-EK6),5/14/2013,UAB „BPT Optima Retail“,"Gynėjų g. 16, Vilnius",18.8,11/21/12 0:00,A16-1021(2.1.43-EK6),5/13/18 0:00,18.8,IVR ant pastato fasado,VERTAS,UAB „Studio Infect“,Gynėjų,16,Naujamiesčio,Išduoti leidimą iškabai penkeriems metams pagal pateiktą projektą VERTAS.
A635-520(2.3.2.1-EK6),5/14/2013,AB „Ventus-Nafta“,"J. Jasinskio g. 16B, Vilnius",40.73,4/24/13 0:00,A16-388(2.1.43-EK6),5/13/14 0:00,40.73,IVR ant pastato fasado,„ORLEN“ „STOP CAFE“ PLOVYKLA,AB „Ventus-Nafta“,O. Milašiaus,31,Antakalnio,Išduoti leidimą penkių elementų išorinei reklamai vieneriems metams ant pastato O. Milašiaus g. 31.
A635-515(2.3.2.1-EK6),5/14/2013,"UAB ,,BPTS Europa“","Gynėjų g. 16, Vilnius",12.1,4/25/12 0:00,A16-331 (2.1.43-EK6),5/13/14 0:00,12.1,IVR ant pastato fasado,-,UAB „Doverta“,Konstitucijos,7A,Šnipiškių,Išduoti leidimą trims reklaminėms plokštumoms vieneriems metams (365 kalendorinėm dienom).
A635-518(2.3.2.1-EK6),5/14/2013,AB „Ventus-Nafta“,"J. Jasinskio g. 16B, Vilnius",31.27,4/24/13 0:00,A16-388(2.1.43-EK6),5/13/14 0:00,31.27,IVR ant pastato fasado,„ORLEN“ „STOP CAFE“ PLOVYKLA,AB „Ventus-Nafta“,Juodojo kelio,32,Rasų,Išduoti leidimą keturių elementų išorinei reklamai vieneriems metams ant pastato Juodasis kelias 32.
A635-516(2.3.2.1-EK6),5/14/2013,Stanislavas Poplavskis,"K. Donelaičio g. 7-7, Vilnius",1.85,8/1/12 0:00,A16-632 (2.1.43-EK6),5/13/14 0:00,1.85,IVR ant pastato fasado,DVIRAČIŲ TAISYKLA,UAB „Vaidra“,Architektų,91,Lazdynų,Išduoti leidimą iškabai vieneriems metams.
A635-514(2.3.2.1-EK6),5/14/2013,UAB „Mototoja“,"Ukmergės g. 425, Vilnius",45.45,2/20/13 0:00,A16-182(2.1.43-EK6),5/13/18 0:00,45.45,IVR ant pastato fasado,TOYOTA LEXUS „MOTOTOJA“,Donatas Bacevičius,Ukmergės,425,Fabijoniškių,Išduoti leidimą šešių elementų išorinei reklamai penkeriems metams.
A635-519(2.3.2.1-EK6),5/14/2013,AB „Ventus-Nafta“,"J. Jasinskio g. 16B, Vilnius",27.95,4/24/13 0:00,A16-388(2.1.43-EK6),5/13/14 0:00,27.95,IVR ant pastato fasado,„ORLEN“ „STOP CAFE“ PLOVYKLA,AB „Ventus-Nafta“,Ukmergės,319,Fabijoniškių,Išduoti leidimą keturių elementų išorinei reklamai vieneriems metams ant pastato Ukmergės g. 319.
A635-523(2.3.2.1-EK6),5/20/2013,UAB „TC Prekyba“,"Savanorių pr. 206A, Kaunas",7.8,4/24/13 0:00,A16-388(2.1.43-EK6),5/19/18 0:00,7.8,IVR ant pastato fasado,EURONICS,UAB „TC Prekyba“,Konstitucijos,16,Šnipiškių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-521(2.3.2.1-EK6),5/20/2013,UAB „Frutlita“,"Kirtimų g. 57A, Vilnius",0.92,1/30/13 0:00,A16-128(2.1.43-EK6),5/19/18 0:00,0.92,IVR ant pastato fasado,„ANTALIJA“ KAVINĖ KEBABINĖ,Rimvydas Butanavičius,J. Jasinskio,1,Naujamiesčio,Išduoti leidimą dviejų elementų išorinei reklamai penkeriems.
A635-524(2.3.2.1-EK6),5/20/2013,UAB „Lietprekyba“,"Liepų g. 13, Bagaslaviškio mstl., Širvintų r. sav.",8.25,3/20/13 0:00,A16-287(2.1.43-EK6),5/19/18 0:00,8.25,IVR ant pastato fasado,GASTRONOMAS „RŪPESTĖLIS“ RŪPESTINGAI ATRINKTA,UAB „Ritmika“,Jeruzalės,16,Verkių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-522(2.3.2.1-EK6),5/20/2013,UAB „Grifs AG“,"Ukmergės g. 223, Vilnius",17.09,4/24/13 0:00,A16-388(2.1.43-EK6),5/19/18 0:00,17.09,IVR ant pastato fasado,„GRIFS AG“ SAUGOS TARNYBA,UAB „Admen“,Ukmergės,223,Šeškinės,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-529(2.3.2.1-EK6),5/21/2013,Danas Mizgaitis,"S. Nėries g. 75-78, Vilnius",1.2,4/24/13 0:00,A16-388(2.1.43-EK6),6/14/17 0:00,1.2,IVR ant pastato fasado,AUTOSERVISAS,Darius Barauskas,S. Nėries,21,Fabijoniškių,Išduoti leidimą išorinei reklamai ketveriems metams nuo 2013-06-15.
A635-540(2.3.2.1-EK6),5/21/2013,UAB „Maxima LT“,"Savanorių pr. 247, Vilnius",125.18,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/14 0:00,125.18,IVR ant pastato fasado,MAXIMA,IĮ „Reklamos linija“,Ukmergės,369,Fabijoniškių,Išduoti leidimą keturių elementų iškabai vieneriems metams.
A635-533(2.3.2.1-EK6),5/21/2013,UAB „Tausana“,"P. Lukšio g. 21, Vilnius",6.73,5/2/13 0:00,A16-431(2.1.43-EK6),5/20/18 0:00,6.73,IVR ant pastato fasado,TAUSANA,UAB „Admen plius“,P. Lukšio,21,Žirmūnų,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-536(2.3.2.1-EK6),5/21/2013,UAB „Maxima LT“,"Savanorių pr. 247, Vilnius",30.78,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/14 0:00,30.78,IVR ant pastato fasado,MAXIMA,IĮ „Reklamos linija“,Minties,58,Žirmūnų,Išduoti leidimą dviejų elementų išorinei reklamai vieneriems metams.
A635-544(2.3.2.1-EK6),5/21/2013,UAB „Maxima LT“,"Savanorių pr. 247, Vilnius",173.2,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/14 0:00,173.2,IVR ant pastato fasado,MAXIMA,IĮ „Reklamos linija“,Liepkalnio,112,Rasų,Išduoti leidimą devynių elementų išorinei reklamai vieneriems metams.
A635-537(2.3.2.1-EK6),5/21/2013,UAB „Maxima LT“,"Savanorių pr. 247, Vilnius",31.8,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/14 0:00,31.8,IVR ant pastato fasado,MAXIMA,IĮ „Reklamos linija“,Žirmūnų,89A,Žirmūnų,Išduoti leidimą trijų elementų išorinei reklamai vieneriems metams.
A635-525(2.3.2.1-EK6),5/21/2013,UAB „Arkorama“,"Ozo g. 25, Vilnius",107.72,4/10/13 0:00,A16-335(2.1.43-EK6),5/20/14 0:00,107.72,IVR ant laikino statinio,„ARKORAMA“ STATYBINIŲ MEDŽIAGŲ IR APDAILOS PREKIŲ PARDUOTUVĖ,IĮ „Reklamos linija“,Sausio 13-osios,1,Karoliniškių,Išduoti leidimą penkių elementų išorinei reklamai vieneriems metams.
A635-527(2.3.2.1-EK6),5/21/2013,UAB „Sodo dizainas“,"Rūdninkų g. 11, Vilnius",4.03,4/17/13 0:00,A16-368(2.1.43-EK6),5/20/18 0:00,4.03,IVR ant pastato fasado,GĖLĖS IR MANUFAKTŪRA,UAB „Doverta“,Savanorių,16,Naujamiesčio,Išduoti leidimą dviejų elementų išorinei reklamai penkeriems metams.
A635-539(2.3.2.1-EK6),5/21/2013,UAB „Maxima LT“,"Savanorių pr. 247, Vilnius",44.2,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/14 0:00,44.2,IVR ant pastato fasado,MAXIMA,IĮ „Reklamos linija“,Žalgirio,105,Šnipiškių,Išduoti leidimą išorinei reklamai vieneriems metams.
A635-530(2.3.2.1-EK6),5/21/2013,"Advokatų kontora Gulbinienė, Lazauskaitė, Sakavičius, Urbonavičius „PROLAW“","Vytauto g. 12, Vilnius",0.72,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/18 0:00,0.72,IVR ant pastato fasado,„PRO LAW“ ADVOKATŲ KONTORA,UAB „Multiplex“,Vytauto,12,Žvėryno,Išduoti leidimą išorinei reklamai ant iškabos penkeriems metams.
A635-543(2.3.2.1-EK6),5/21/2013,UAB „Maxima LT“,"Savanorių pr. 247, Vilnius",66.85,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/14 0:00,66.85,IVR ant pastato fasado,MAXIMA,IĮ „Reklamos linija“,Mindaugo  / T. Ševčenkos,2-Nov,Naujamiesčio,Išduoti leidimą šešių elementų išorinei reklamai vieneriems metams.
A635-534(2.3.2.1-EK6),5/21/2013,UAB „Wash and Drive“,"Aukštaičių g. 7, Vilnius",0.9,4/3/13 0:00,A16-317(2.1.43-EK6),5/20/18 0:00,0.9,IVR ant pastato fasado,ŽALIŲJŲ EŽERŲ AUTOCENTRAS,UAB „Express reklama“,Balsių sodų 1-oji,9,Verkių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-541(2.3.2.1-EK6),5/21/2013,UAB „Maxima LT“,"Savanorių pr. 247, Vilnius",136.36,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/14 0:00,136.36,IVR ant pastato fasado,MAXIMA,IĮ „Reklamos linija“,Ukmergės,282,Pašilaičių,Išduoti leidimą aštuonių elementų iškabai vieneriems metams.
A635-526(2.3.2.1-EK6),5/21/2013,UAB „Sodo dizainas“,"Rūdninkų g. 11, Vilnius",1.8,4/17/13 0:00,A16-368(2.1.43-EK6),5/20/18 0:00,1.8,IVR ant pastato fasado,GĖLĖS IR MANUFAKTŪRA,UAB „ADMEN Baltic“,Kareivių,11A,Žirmūnų,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-528(2.3.2.1-EK6),5/21/2013,V. Novakienės įmonė „Sraigtas“,"Savanorių pr. 56, Vilnius",1.42,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/18 0:00,1.42,IVR ant pastato fasado,SKALBIMO IR CHEMINIO VALYMO PASLAUGOS. PAVEIKSLAI ANT ŠILKO,Vida Novakienė,Savanorių,56,Vilkpėdės,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-532(2.3.2.1-EK6),5/21/2013,Vygento Ličio firma „Evita“,"J. Basanavičiaus g. 35, Vilnius",0.98,5/2/13 0:00,A16-431(2.1.43-EK6),5/20/18 0:00,0.98,IVR ant pastato fasado,EVITA,UAB „Doverta“,J. Basanavičiaus,35,Naujamiesčio,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-538(2.3.2.1-EK6),5/21/2013,UAB „Maxima LT“,"Savanorių pr. 247, Vilnius",30.21,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/14 0:00,30.21,IVR ant pastato fasado,MAXIMA,IĮ „Reklamos linija“,Dūkštų,1,Šeškinės,Išduoti leidimą trijų elementų išorinei reklamai vieneriems metams.
A635-542(2.3.2.1-EK6),5/21/2013,UAB „Maxima LT“,"Savanorių pr. 247, Vilnius",49.9,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/14 0:00,49.9,IVR ant pastato fasado,MAXIMA,IĮ „Reklamos linija“,Taikos,162A,Justiniškių,Išduoti leidimą šešių elementų išorinei reklamai vieneriems metams.
A635-531(2.3.2.1-EK6),5/21/2013,UAB „Pektos servisas“,"Ukmergės g. 212A, Vilnius",2.43,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/14 0:00,2.43,IVR ant pastato fasado,KONDICIONIERIŲ CENTRAS,Jonas Ignatavičius,Ukmergės,212A,Šeškinės,Išduoti leidimą išorinei reklamai vieneriems metams pagal pateiktą antrąjį variantą.
A635-535(2.3.2.1-EK6),5/21/2013,UAB „Jysk Baltic“,"Ozo g. 25, Vilnius",21.14,4/24/13 0:00,A16-388(2.1.43-EK6),5/20/18 0:00,21.14,IVR ant pastato fasado,JYSK,UAB „ADMEN Baltic“,Ozo,25,Šeškinės,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-545(2.3.2.1-EK6),5/23/2013,"VŠĮ ""JAT PROJEKTAI""","Palangos g. 4, Vilnius",15,5/15/13 0:00,A16-468(2.1.43-EK6),5/23/14 0:00,15,IVR ant pastato fasado,*,"VŠĮ ""JAT PROJEKTAI""",J. Jasinskio,12,Naujamiesčio,
A635-546(2.3.2.1-EK6),5/23/2013,VĮ Tarptautinis Vilniaus oro uostas,"Rodūnios kelias 10A, Vilnius",144,5/15/13 0:00,A16-468(2.1.43-EK6),5/31/14 0:00,144,IVR ant pastato fasado,PAYSERA.COM FAST TRACK FOR YOUR MONEY,VĮ Tarptautinis Vilniaus oro uostas,Rodūnios kelias,2,Naujininkų,Leidimas galioja nuo 2013-06-01
A635-547(2.3.2.1-EK6),5/24/2013,UAB „Vilža“,"V. Maciulevičiaus g. 51, Vilnius",0,5/2/13 0:00,A16-431(2.1.43-EK6),5/23/18 0:00,0.25,IVR ant pastato fasado,UŽDAROJI AKCINĖ BENDROVĖ „VILŽA“,UAB „Vilža“,V. Maciulevičiaus,51,Karoliniškių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-548(2.3.2.1-EK6),5/27/2013,UAB „Alfaturas“,"J. Basanavičiaus g. 1/13, Vilnius",2.63,5/2/13 0:00,A16-431(2.1.43-EK6),5/26/18 0:00,2.63,IVR ant pastato fasado,ITAKA,UAB „ADV group“,A. Smetonos,7A,Naujamiesčio,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-551(2.3.2.1-EK6),5/27/2013,UAB „Kukla“,"Didžioji g. 28, Vilnius",2.45,5/2/13 0:00,A16-431(2.1.43-EK6),5/26/18 0:00,2.45,IVR ant pastato fasado,„KUKLA“ BEAUTY BOX,UAB „Ad  Diem“,Didžioji,28,Senamiesčio,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-550(2.3.2.1-EK6),5/27/2013,UAB „Unigames“,"Vilkpėdės g. 20, Vilnius",13.6,5/2/13 0:00,A16-431(2.1.43-EK6),5/26/18 0:00,13.6,IVR ant pastato fasado,"BARAS, LOŠIMO AUTOMATAI „UNICLUB“",IĮ „LIP2KAI“,Savanorių,62,Vilkpėdės,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-552(2.3.2.1-EK6),5/27/2013,UAB „Hetlita“,"Savanorių pr. 176, Vilnius",2,5/2/13 0:00,A16-431(2.1.43-EK6),5/26/18 0:00,2,IVR ant pastato fasado,HETTICH,UAB „VDI reklama“,Savanorių,176,Vilkpėdės,"Išduoti leidimą išorinei reklamai penkeriems metams su sąlyga, kad bus atsižvelgta į kalbos tvarkytojos reikalavimus."
A635-553(2.3.2.1-EK6),5/27/2013,UAB „Oldtaunas“,"Rūdninkų g. 14, Vilnius",8.11,5/8/13 0:00,A16-434(2.1.43-EK6),5/26/18 0:00,8.11,IVR ant pastato fasado,„DOLLS“ STRIPTIZO KLUBAS,UAB „Zoom out“,Konstitucijos,18,Šnipiškių,Išduoti leidimą trijų elementų išorinei reklamai penkeriems metams.
A635-549(2.3.2.1-EK6),5/27/2013,Anna Daunorienė,"Šv. Mykolo g. 12-1, Vilnius",0.51,3/20/13 0:00,A16-287(2.1.43-EK6),5/26/18 0:00,0.51,IVR ant pastato fasado,AUTORIŲ GALERIJA „BOUTIQUE PRIVILEGE”,Aivaras Kukevičius,Šv. Mykolo,12,Senamiesčio,Išduoti leidimą dviejų elementų išorinei reklamai penkeriems metams.
A635-554(2.3.2.1-EK6),5/27/2013,UAB „Asperitus“,"Lvovo g. 89A-43, Vilnius",1.3,5/2/13 0:00,A16-431(2.1.43-EK6),5/26/18 0:00,1.3,IVR ant pastato fasado,„DENTAL PRO“ DANTŲ IMPLANTOLOGIJOS IR PROTEZAVIMO KLINIKA,UAB „ŽVK“,Lvovo,89A,Šnipiškių,Panaikintas leidimo galiojimas nuo 2013-07-16.
A635-565(2.3.2.1-EK6),5/28/2013,UAB „Neste Lietuva“,"P. Lukšio g. 32, Vilnius",7.8,11/28/12 0:00,A16-1044(2.1.43-EK6),5/27/18 0:00,7.8,IVR ant pastato fasado,NESTE,T. Masiulio firma „Archisfera“,Pilaitės,27,Pilaitės,Išduoti leidimą trijų elementų iškabai penkeriems metams.
A635-563(2.3.2.1-EK6),5/28/2013,Lietuvos ir Vokietijos uždaroji akcinė bendrovė „Lirema“,"Verkių g. 34, Vilnius",1.21,5/8/13 0:00,A16-434(2.1.43-EK6),5/27/18 0:00,1.21,IVR ant pastato fasado,AKIŲ KLINIKA,UAB „Doverta“,Verkių,34,Žirmūnų,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-568(2.3.2.1-EK6),5/28/2013,COMPAGNIE FRANCAISE D`ASSURANCE POUR LE COMMERCE EXTERIEUR Lietuvos filialas,"Vilniaus g. 23-3, Vilnius",0.8,5/8/13 0:00,A16-434(2.1.43-EK6),5/27/18 0:00,0.8,IVR ant pastato fasado,VERSLO RIZIKOS VALDYMO SPRENDIMAI,UAB „Reklamos dizainas“,Vilniaus,23,Senamiesčio,Išduoti leidimą dviejų elementų išorinei reklamai penkeriems metams.
A635-560(2.3.2.1-EK6),5/28/2013,"UAB ,,Joglė LT“","Miškininkų g. 14, Vilnius",1.8,5/8/13 0:00,A16-434(2.1.43-EK6),5/27/18 0:00,1.8,IVR ant pastato fasado,„JOGLĖ“ ŠVARUMO CENTRAS,UAB „ADMEN Baltic“,Kareivių,11A,Žirmūnų,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-576(2.3.2.1-EK6),5/28/2013,UAB „Gintarinė vaistinė“,"Gedimino g. 13, Kaunas",1.94,5/2/13 0:00,A16-431(2.1.43-EK6),5/27/18 0:00,1.94,IVR ant pastato fasado,GINTARINĖ VAISTINĖ,UAB „Vizualiniai projektai“,Architektų,214,Lazdynų,"Išduoti leidimą trijų elementų išorinei reklamai penkeriems metams su sąlyga, kad lipni plėvelė ant vitrinų stiklo bus klijuojama iš vidinės stiklo pusės."
A635-556(2.3.2.1-EK6),5/28/2013,UAB „Versus Aureus“ leidykla,"Rūdninkų g. 10, Vilnius",0.54,5/8/13 0:00,A16-434(2.1.43-EK6),5/27/18 0:00,0.54,IVR ant pastato fasado,KNYGOS „VERSUS AUREUS“,UAB „Rychter Group“,Rūdninkų,10,Senamiesčio,Išduoti leidimą dviejų elementų išorinei reklamai penkeriems metams.
A635-567(2.3.2.1-EK6),5/28/2013,UAB „Polyglot“,"Konstitucijos pr. 23A-236, Vilnius",0.43,4/10/13 0:00,A16-335(2.1.43-EK6),5/27/18 0:00,0.43,IVR ant pastato fasado,„POLYGLOT“ VERTIMŲ BIURAS,UAB „Alternatyvūs projektai“,Konstitucijos,23A,Šnipiškių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-564(2.3.2.1-EK6),5/28/2013,UAB „Neste Lietuva“,"P. Lukšio g. 32, Vilnius",33.6,11/28/12 0:00,A16-1044(2.1.43-EK6),5/27/18 0:00,33.6,IVR ant reklaminio kainų stovo,NESTE,T. Masiulio firma „Archisfera“,Pilaitės,27,Pilaitės,Išduoti leidimą reklaminiam kainų stovui penkeriems metams.
A635-571(2.3.2.1-EK6),5/28/2013,UAB „Gintarinė vaistinė“,"Gedimino g. 13, Kaunas",1.8,5/2/13 0:00,A16-431(2.1.43-EK6),5/27/18 0:00,1.8,IVR ant pastato fasado,GINTARINĖ VAISTINĖ,UAB „Vizualiniai projektai“,Kareivių,11A,Žirmūnų,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-572(2.3.2.1-EK6),5/28/2013,"UAB ,,Gintarinė vaistinė“","Gedimino g. 13, Kaunas",0.92,5/2/13 0:00,A16-431(2.1.43-EK6),5/27/18 0:00,0.92,IVR ant pastato fasado,VOKIEČIŲ VAISTINĖ,UAB „Vizualiniai projektai“,Didžioji,13,Senamiesčio,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-555(2.3.2.1-EK6),5/28/2013,UAB „Kavinukas“,"Ateities g. 15, Vilnius",8.97,5/8/13 0:00,A16-434(2.1.43-EK6),5/27/18 0:00,8.97,IVR ant pastato fasado,„GURMANS“ ARBATOS IR KAVOS KOMPANIJA,UAB „Vaizdinė reklama“,Ateities,15,Verkių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-574(2.3.2.1-EK6),5/28/2013,UAB „Gintarinė vaistinė“,"Gedimino g. 13, Kaunas",2.11,5/2/13 0:00,A16-431(2.1.43-EK6),5/27/18 0:00,2.11,IVR ant pastato fasado,GINTARINĖ VAISTINĖ,UAB „Vizualiniai projektai“,Šeškinės,32,Šeškinės,"Išduoti leidimą išorinei reklamai penkeriems metams su sąlyga, kad lipni plėvelė ant vitrinų stiklo bus klijuojama iš vidinės stiklo pusės."
A635-559(2.3.2.1-EK6),5/28/2013,Biržų akcinė bendrovė „Siūlas“,"Vilniaus g. 12, Vilnius",1.61,5/8/13 0:00,A16-434(2.1.43-EK6),5/27/18 0:00,1.61,IVR ant pastato fasado,LINO NAMAI,UAB „Reklamos galimybių centras“,Vilniaus,11,Senamiesčio,"Išduoti leidimą dviejų elementų išorinei reklamai penkeriems metams su sąlyga, kad lipni plėvelė ant vitrinos stiklo bus klijuojama iš vidinės stiklo pusės."
A635-562(2.3.2.1-EK6),5/28/2013,VšĮ „Vilniaus kooperacijos kolegija“,"Konstitucijos pr. 11, Vilnius",4.45,5/8/13 0:00,A16-434(2.1.43-EK6),5/27/18 0:00,4.45,IVR ant pastato fasado,VILNIAUS KOOPERACIJOS KOLEGIJA,UAB „Doverta“,Konstitucijos,11,Šnipiškių,Išduoti leidimą išorinei reklamai penkeriems metams.
A635-561(2.3.2.1-EK6),5/28/2013,UAB „Vesma“,"Kęstučio g. 54, Vilnius",1.89,4/17/13 0:00,A16-368(2.1.43-EK6),5/27/18 0:00,1.89,IVR ant pastato fasado,VESTUVINIŲ ŽIEDŲ SALONAS „ŽIEDŲ VALDOVAS“,UAB „Reklamos agentūra“,Kęstučio,54,Žvėryno,Išduoti leidimą dviejų elementų išorinei reklamai penkeriems metams.
A635-573(2.3.2.1-EK6),5/28/2013,UAB „Gintarinė vaistinė“,"Gedimino g. 13, Kaunas",1.94,5/8/13 0:00,A16-434(2.1.43-EK6),5/27/18 0:00,1.94,IVR ant pastato fasado,GINTARINĖ VAISTINĖ,UAB „Vizualiniai projektai“,Justiniškių,91,Justiniškių,Išduoti leidimą trijų elementų išorinei reklamai penkeriems metams.
